vehicle_id,brand,vehicle_year,timestamp,odometer_km,engine_hours,vehicle_speed_kph,engine_temp_c,engine_rpm,oil_pressure_psi,coolant_temp_c,fuel_level_percent,fuel_consumption_lph,engine_load_percent,throttle_position_percent,air_flow_rate_gps,exhaust_gas_temp_c,engine_vibration,brake_pad_wear_mm,brake_fluid_level,brake_temp_c,abs_fault_indicator,brake_pedal_position,wheel_speed_fl_kph,wheel_speed_fr_kph,wheel_speed_rl_kph,wheel_speed_rr_kph,battery_voltage_v,battery_current_a,battery_temp_c,alternator_output_v,battery_charge_percent,battery_health_percent,ambient_temp_c,humidity_percent,gps_latitude,gps_longitude,engine_failure_imminent,brake_issue_imminent,battery_issue_imminent,failure_date,failure_type
VEH0005,BMW,2021,2025-12-14 11:40:00,96065.16,1886.89,90.75,108.34,3698.46,57.05,97.94,100.0,7.68,85.33,47.5,69.66,641.45,1.74,2.23,95.63,56.68,0,29.24,82.12,81.11,91.21,90.96,12.68,5.38,52.13,14.22,96.45,94.6,33.55,39.52,10.310915,80.114368,0,0,0,2050-01-01 00:00:00,No Failure
VEH0064,Tata,2021,2025-06-18 09:03:00,92417.05,2216.19,61.83,100.82,2845.62,58.07,85.82,56.36,6.87,50.94,27.98,54.97,461.43,1.54,2.75,93.61,62.22,0,4.03,63.2,59.32,63.65,57.1,13.03,-1.61,45.06,14.0,90.47,100.0,22.48,69.05,15.461133,79.417808,0,0,0,2050-01-01 00:00:00,No Failure
VEH0179,Honda,2017,2025-10-27 13:54:00,151027.57,3237.27,71.16,84.91,3033.65,50.6,94.12,56.31,5.66,63.42,46.24,54.48,541.52,1.45,2.84,88.33,70.93,0,16.04,74.97,66.96,69.07,70.47,11.7,-0.22,32.84,14.4,83.91,83.34,20.49,23.88,19.94414,81.286649,0,0,0,2050-01-01 00:00:00,No Failure
VEH0188,Toyota,2024,2025-08-21 18:35:00,39957.5,585.93,109.16,108.41,4081.99,56.52,90.74,39.69,9.22,100.0,78.39,76.63,706.17,1.46,2.39,96.8,63.97,0,3.44,107.18,109.75,111.87,116.02,12.25,-15.39,48.59,14.26,87.99,98.81,22.17,76.03,24.034787,87.145007,0,0,0,2050-01-01 00:00:00,No Failure
VEH0210,Mercedes,2018,2025-08-22 09:15:00,151016.74,3315.73,51.11,103.2,3083.58,54.53,94.04,74.2,7.47,74.79,62.11,51.18,578.13,2.34,3.38,83.11,58.77,0,11.98,51.91,49.6,51.08,45.29,12.57,-0.12,42.59,14.4,77.11,89.32,26.58,40.56,8.726361,75.95427,0,0,0,2050-01-01 00:00:00,No Failure
VEH0116,Tata,2020,2025-07-21 15:15:00,73016.65,1547.05,63.98,95.84,3186.04,63.32,92.17,42.8,6.11,43.68,21.32,57.45,469.24,1.45,1.88,92.98,56.89,0,46.46,63.92,63.34,63.13,61.78,13.03,0.49,44.76,14.58,87.96,97.1,27.94,44.59,15.524351,85.72455,0,0,0,2050-01-01 00:00:00,No Failure
VEH0215,Mercedes,2023,2025-05-06 13:11:00,40265.03,1048.26,89.42,96.79,3275.53,54.38,93.64,61.07,8.49,98.07,65.32,63.54,686.74,1.48,2.37,90.58,73.94,0,43.8,96.15,96.61,93.06,88.22,12.52,0.52,42.58,14.1,84.44,95.67,18.97,52.48,12.374454,84.757044,0,0,0,2050-01-01 00:00:00,No Failure
VEH0255,Mercedes,2021,2025-04-26 18:00:00,66715.92,1423.46,62.08,98.29,3324.12,50.25,92.89,65.58,7.56,63.02,58.55,59.73,544.01,1.73,2.24,98.0,59.04,0,41.56,60.5,60.54,61.24,61.17,12.07,-20.2,46.77,14.12,72.31,92.16,31.66,66.59,12.377294,88.14729,0,0,0,2050-01-01 00:00:00,No Failure
VEH0036,Honda,2021,2025-11-03 14:26:00,69997.01,1625.39,118.89,112.17,4734.26,50.37,98.71,67.55,10.02,97.08,39.82,88.44,677.6,2.02,2.28,98.88,74.54,0,38.85,113.98,115.42,124.73,114.01,12.59,-17.28,48.18,14.41,83.35,98.28,35.8,41.11,23.041676,77.493092,0,0,0,2050-01-01 00:00:00,No Failure
VEH0040,Audi,2024,2025-10-26 13:02:00,47120.91,1163.26,58.65,103.47,3033.11,62.17,88.19,49.37,5.64,71.36,49.24,60.33,560.76,1.93,2.35,93.16,53.58,0,3.85,52.63,64.07,57.68,59.08,12.79,15.47,36.03,14.32,89.51,100.0,23.93,79.79,16.980721,78.538548,0,0,0,2050-01-01 00:00:00,No Failure
VEH0243,Honda,2019,2025-01-08 14:04:00,121339.94,2785.69,40.6,97.98,2222.81,62.06,86.12,11.3,4.89,58.51,43.08,50.96,527.12,1.16,2.43,94.36,46.75,0,8.85,44.71,38.42,34.87,41.69,12.8,-1.6,42.32,13.63,75.19,89.73,26.94,72.86,11.335656,73.964024,0,0,0,2050-01-01 00:00:00,No Failure
VEH0098,Hyundai,2022,2025-01-08 09:30:00,72702.1,1752.25,44.78,98.79,2154.36,55.24,86.91,71.69,5.12,58.32,37.48,41.93,483.77,1.4,2.16,88.12,44.19,0,28.32,48.38,44.49,46.88,51.19,12.3,10.59,42.3,14.73,86.72,94.2,33.43,89.96,20.241269,86.499687,0,0,0,2050-01-01 00:00:00,No Failure
VEH0188,Mercedes,2021,2025-03-09 12:13:00,96830.26,2212.88,83.2,105.03,3913.72,55.89,95.43,4.2,8.1,84.74,77.78,72.92,660.79,2.36,2.31,94.16,74.2,0,34.35,87.76,82.18,86.66,84.26,12.41,17.61,45.57,13.9,81.02,97.95,36.8,74.97,21.421442,73.623725,0,0,0,2050-01-01 00:00:00,No Failure
VEH0214,Tata,2025,2025-05-04 02:12:00,11496.1,283.83,101.39,107.25,4137.93,53.46,95.63,50.49,9.51,100.0,71.59,75.03,696.93,1.47,2.47,96.54,71.89,0,36.06,99.12,103.34,94.28,98.44,12.51,7.24,50.53,13.97,86.49,98.42,42.91,83.01,11.647309,82.728775,0,0,0,2050-01-01 00:00:00,No Failure
VEH0276,Toyota,2017,2025-10-01 14:02:00,139713.19,3221.95,54.03,108.47,2490.43,50.26,91.36,61.73,6.0,73.91,42.61,49.32,640.25,2.66,3.11,88.82,68.02,0,19.46,54.87,49.89,50.75,50.71,12.6,5.69,53.05,14.41,74.61,89.02,29.26,75.83,16.208655,87.556179,0,1,0,2025-10-04 18:02:00,Brake
VEH0251,BMW,2025,2025-09-30 17:08:00,39419.16,945.87,42.05,96.23,1572.97,57.44,89.29,55.4,5.83,50.73,32.1,32.62,484.84,1.23,2.13,94.04,56.46,0,28.56,43.95,39.48,41.2,33.02,12.61,-14.08,43.58,14.32,81.39,96.01,34.91,97.05,21.946208,87.729287,0,0,0,2050-01-01 00:00:00,No Failure
VEH0284,Ford,2021,2025-02-27 13:35:00,89449.21,1798.54,69.66,104.52,2962.28,58.27,91.77,64.74,6.94,66.75,65.22,52.83,559.63,0.95,2.9,90.75,58.52,0,16.56,68.32,68.79,68.5,65.6,12.57,16.99,50.09,13.95,100.0,95.61,38.26,75.12,20.781355,74.013119,0,0,0,2050-01-01 00:00:00,No Failure
VEH0111,Mercedes,2023,2025-05-31 02:53:00,58230.01,1278.57,65.21,99.53,1852.72,58.56,97.42,72.94,6.14,68.38,47.48,43.07,580.49,1.73,2.08,94.06,54.87,0,52.96,64.56,65.19,61.49,62.98,12.91,18.26,45.66,14.76,97.09,98.5,25.24,75.56,10.732729,72.932947,0,0,0,2050-01-01 00:00:00,No Failure
VEH0139,Toyota,2016,2025-08-19 06:12:00,135460.73,3030.25,20.08,104.25,2376.1,53.04,92.21,3.11,3.31,29.37,10.13,48.51,520.37,2.35,2.41,83.27,35.59,0,5.05,19.78,18.75,22.17,21.02,12.26,0.91,45.58,14.17,81.53,94.47,39.53,23.71,11.316148,86.519998,0,1,0,2025-08-22 18:12:00,Brake
VEH0225,BMW,2015,2025-02-04 04:21:00,155565.41,3427.01,94.51,106.17,3174.18,51.77,93.11,37.54,6.86,78.38,59.51,56.41,589.45,2.02,3.52,88.0,80.79,0,21.74,94.51,89.69,98.39,91.79,12.13,-21.37,42.99,14.04,73.47,84.42,25.5,54.11,16.001936,82.395122,0,1,0,2025-02-04 11:21:00,Brake
VEH0064,BMW,2015,2025-08-04 18:09:00,156357.16,3486.73,51.25,102.95,1795.16,52.44,93.47,23.66,5.39,64.81,41.26,37.95,548.33,2.34,2.86,87.15,55.38,0,59.23,53.75,49.55,55.38,53.06,12.76,9.48,49.39,13.94,67.08,87.99,37.73,58.99,15.196373,74.801646,1,0,0,2025-08-06 20:09:00,Engine
